id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
587862176479754425,2BR/2.5BA Penthouse condo w/ Rooftop & PARKING!,72697395,Josh,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93073,-77.02449,Entire home/apt,750,2,14,2022-12-10,1.39,2,315,14,Unhosted License: 5007242201001675
578688638636701935,"Logan Circle 1BR w/ Gym, W/D & Pool, nr bars",107434423,Blueground,,"Shaw, Logan Circle",38.90603,-77.03018,Entire home/apt,169,32,0,,,221,233,0,
53953956,Stylish condo in central DC location,32905567,Shannon,,"Dupont Circle, Connecticut Avenue/K Street",38.90984,-77.03759,Entire home/apt,132,31,2,2022-03-14,0.15,1,0,0,
578876350788970790,2bedroom /2bathroom luxury apartment,106768004,Harry,,"Howard University, Le Droit Park, Cardozo/Shaw",38.9141,-77.02866,Entire home/apt,285,2,12,2023-02-19,0.99,3,53,12,Exempt
579084731692974993,@HostelChic-Private Bedroom in Petworth,437660791,Eddie,,"Brightwood Park, Crestwood, Petworth",38.95164,-77.01731,Private room,45,1,27,2023-02-20,2.17,20,356,26,Exempt
579455693119163439,"Logan Circle 1BR w/ Gym, W/D & Pool, nr bars",107434423,Blueground,,"Shaw, Logan Circle",38.90603,-77.03018,Entire home/apt,190,32,0,,,221,231,0,
588170621472274534,"Navy Yard 1BR w/ W/D, Roof BBQ & Gym, nr Nats Park",107434423,Blueground,,"Near Southeast, Navy Yard",38.8712174,-77.0068245,Entire home/apt,185,32,0,,,221,166,0,
589017455134637067,Charming Palisades Apartment near Georgetown,450914198,Leonardo,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.90974,-77.087875,Entire home/apt,120,2,41,2023-03-18,3.72,1,304,41,"Hosted License: 5007242201000685
Unhosted License: 5007262201000686"
579870222629690831,Sunny & Spacious Capitol Hill DC Rowhouse w/Garage,24877827,Hadas,,"Union Station, Stanton Park, Kingman Park",38.89755,-76.99504,Entire home/apt,200,10,0,,,2,0,0,"Hosted License: 5007242201000813
Unhosted License: 5007242201000814"
53955682,"Beautiful 1 Bedroom Rental, Steps away from Metro",61643,Robert,,"Mayfair, Hillbrook, Mahaning Heights",38.89814,-76.94344,Entire home/apt,99,31,5,2023-01-28,0.34,2,319,3,
